,genres,norm_per_year,production_companies,total_films,year
7434,Western,0.0,Paramount Pictures,0,1965
7438,Western,0.0,Relativity Media,0,1965
7439,Western,0.0,Touchstone Pictures,0,1965
7430,Western,0.0,Twentieth Century Fox Film Corporation,0,1965
7437,Western,0.0,Universal Pictures,0,1965
7431,Western,0.0,Walt Disney Pictures,0,1965
7433,Western,0.0,Warner Bros.,0,1965
7352,Action,0.0,Columbia Pictures,0,1966
7356,Action,0.0,Metro-Goldwyn-Mayer (MGM),0,1966
7355,Action,0.0,New Line Cinema,0,1966
7354,Action,0.0,Paramount Pictures,0,1966
7358,Action,0.0,Relativity Media,0,1966
7359,Action,0.0,Touchstone Pictures,0,1966
7350,Action,0.0,Twentieth Century Fox Film Corporation,0,1966
7357,Action,0.0,Universal Pictures,0,1966
7351,Action,0.0,Walt Disney Pictures,0,1966
6,Action,1.0,Warner Bros.,1,1966
7362,Adventure,0.0,Columbia Pictures,0,1966
7366,Adventure,0.0,Metro-Goldwyn-Mayer (MGM),0,1966
7365,Adventure,0.0,New Line Cinema,0,1966
7364,Adventure,0.0,Paramount Pictures,0,1966
7368,Adventure,0.0,Relativity Media,0,1966
7369,Adventure,0.0,Touchstone Pictures,0,1966
0,Adventure,1.0,Twentieth Century Fox Film Corporation,1,1966
7367,Adventure,0.0,Universal Pictures,0,1966
7361,Adventure,0.0,Walt Disney Pictures,0,1966
7363,Adventure,0.0,Warner Bros.,0,1966
7452,Comedy,0.0,Columbia Pictures,0,1966
7456,Comedy,0.0,Metro-Goldwyn-Mayer (MGM),0,1966
7455,Comedy,0.0,New Line Cinema,0,1966
7454,Comedy,0.0,Paramount Pictures,0,1966
7458,Comedy,0.0,Relativity Media,0,1966
7459,Comedy,0.0,Touchstone Pictures,0,1966
1,Comedy,1.0,Twentieth Century Fox Film Corporation,1,1966
7457,Comedy,0.0,Universal Pictures,0,1966
7451,Comedy,0.0,Walt Disney Pictures,0,1966
7453,Comedy,0.0,Warner Bros.,0,1966
7392,Crime,0.0,Columbia Pictures,0,1966
7396,Crime,0.0,Metro-Goldwyn-Mayer (MGM),0,1966
7395,Crime,0.0,New Line Cinema,0,1966
7394,Crime,0.0,Paramount Pictures,0,1966
7398,Crime,0.0,Relativity Media,0,1966
7399,Crime,0.0,Touchstone Pictures,0,1966
2,Crime,0.5,Twentieth Century Fox Film Corporation,1,1966
7397,Crime,0.0,Universal Pictures,0,1966
7391,Crime,0.0,Walt Disney Pictures,0,1966
7,Crime,0.5,Warner Bros.,1,1966
7402,Drama,0.0,Columbia Pictures,0,1966
7406,Drama,0.0,Metro-Goldwyn-Mayer (MGM),0,1966
7405,Drama,0.0,New Line Cinema,0,1966
7404,Drama,0.0,Paramount Pictures,0,1966
7408,Drama,0.0,Relativity Media,0,1966
7409,Drama,0.0,Touchstone Pictures,0,1966
7400,Drama,0.0,Twentieth Century Fox Film Corporation,0,1966
7407,Drama,0.0,Universal Pictures,0,1966
7401,Drama,0.0,Walt Disney Pictures,0,1966
8,Drama,1.0,Warner Bros.,1,1966
7422,Family,0.0,Columbia Pictures,0,1966
7426,Family,0.0,Metro-Goldwyn-Mayer (MGM),0,1966
7425,Family,0.0,New Line Cinema,0,1966
7424,Family,0.0,Paramount Pictures,0,1966
7428,Family,0.0,Relativity Media,0,1966
7429,Family,0.0,Touchstone Pictures,0,1966
3,Family,1.0,Twentieth Century Fox Film Corporation,1,1966
7427,Family,0.0,Universal Pictures,0,1966
7421,Family,0.0,Walt Disney Pictures,0,1966
7423,Family,0.0,Warner Bros.,0,1966
7372,Fantasy,0.0,Columbia Pictures,0,1966
7376,Fantasy,0.0,Metro-Goldwyn-Mayer (MGM),0,1966
7375,Fantasy,0.0,New Line Cinema,0,1966
7374,Fantasy,0.0,Paramount Pictures,0,1966
7378,Fantasy,0.0,Relativity Media,0,1966
7379,Fantasy,0.0,Touchstone Pictures,0,1966
7370,Fantasy,0.0,Twentieth Century Fox Film Corporation,0,1966
7377,Fantasy,0.0,Universal Pictures,0,1966
7371,Fantasy,0.0,Walt Disney Pictures,0,1966
7373,Fantasy,0.0,Warner Bros.,0,1966
7472,History,0.0,Columbia Pictures,0,1966
7476,History,0.0,Metro-Goldwyn-Mayer (MGM),0,1966
7475,History,0.0,New Line Cinema,0,1966
7474,History,0.0,Paramount Pictures,0,1966
7478,History,0.0,Relativity Media,0,1966
7479,History,0.0,Touchstone Pictures,0,1966
7470,History,0.0,Twentieth Century Fox Film Corporation,0,1966
7477,History,0.0,Universal Pictures,0,1966
7471,History,0.0,Walt Disney Pictures,0,1966
7473,History,0.0,Warner Bros.,0,1966
7462,Horror,0.0,Columbia Pictures,0,1966
7466,Horror,0.0,Metro-Goldwyn-Mayer (MGM),0,1966
7465,Horror,0.0,New Line Cinema,0,1966
7464,Horror,0.0,Paramount Pictures,0,1966
7468,Horror,0.0,Relativity Media,0,1966
7469,Horror,0.0,Touchstone Pictures,0,1966
7460,Horror,0.0,Twentieth Century Fox Film Corporation,0,1966
7467,Horror,0.0,Universal Pictures,0,1966
7461,Horror,0.0,Walt Disney Pictures,0,1966
7463,Horror,0.0,Warner Bros.,0,1966
7492,Music,0.0,Columbia Pictures,0,1966
7496,Music,0.0,Metro-Goldwyn-Mayer (MGM),0,1966
7495,Music,0.0,New Line Cinema,0,1966
7494,Music,0.0,Paramount Pictures,0,1966
7498,Music,0.0,Relativity Media,0,1966
7499,Music,0.0,Touchstone Pictures,0,1966
7490,Music,0.0,Twentieth Century Fox Film Corporation,0,1966
7497,Music,0.0,Universal Pictures,0,1966
