,year,production_companies,total_films,norm_per_year
142,1994,Walt Disney Pictures,2,0.057142857
143,1994,Warner Bros.,10,0.285714286
144,1995,Columbia Pictures,5,0.142857143
145,1995,Metro-Goldwyn-Mayer (MGM),3,0.085714286
146,1995,New Line Cinema,4,0.114285714
147,1995,Paramount Pictures,7,0.2
158,1995,Relativity Media,0,0
148,1995,Touchstone Pictures,2,0.057142857
149,1995,Twentieth Century Fox Film Corporation,2,0.057142857
150,1995,Universal Pictures,6,0.171428571
151,1995,Walt Disney Pictures,1,0.028571429
152,1995,Warner Bros.,5,0.142857143
153,1996,Columbia Pictures,7,0.14
154,1996,Metro-Goldwyn-Mayer (MGM),2,0.04
155,1996,New Line Cinema,6,0.12
156,1996,Paramount Pictures,8,0.16
228,1996,Relativity Media,0,0
157,1996,Touchstone Pictures,3,0.06
158,1996,Twentieth Century Fox Film Corporation,6,0.12
159,1996,Universal Pictures,7,0.14
160,1996,Walt Disney Pictures,1,0.02
161,1996,Warner Bros.,10,0.2
162,1997,Columbia Pictures,4,0.075471698
163,1997,Metro-Goldwyn-Mayer (MGM),2,0.037735849
164,1997,New Line Cinema,7,0.132075472
165,1997,Paramount Pictures,10,0.188679245
118,1997,Relativity Media,0,0
166,1997,Touchstone Pictures,5,0.094339623
167,1997,Twentieth Century Fox Film Corporation,6,0.113207547
168,1997,Universal Pictures,6,0.113207547
169,1997,Walt Disney Pictures,3,0.056603774
170,1997,Warner Bros.,10,0.188679245
171,1998,Columbia Pictures,5,0.069444444
172,1998,Metro-Goldwyn-Mayer (MGM),2,0.027777778
173,1998,New Line Cinema,7,0.097222222
174,1998,Paramount Pictures,11,0.152777778
188,1998,Relativity Media,0,0
175,1998,Touchstone Pictures,11,0.152777778
176,1998,Twentieth Century Fox Film Corporation,11,0.152777778
177,1998,Universal Pictures,11,0.152777778
178,1998,Walt Disney Pictures,4,0.055555556
179,1998,Warner Bros.,10,0.138888889
180,1999,Columbia Pictures,12,0.139534884
181,1999,Metro-Goldwyn-Mayer (MGM),6,0.069767442
182,1999,New Line Cinema,7,0.081395349
183,1999,Paramount Pictures,12,0.139534884
148,1999,Relativity Media,0,0
184,1999,Touchstone Pictures,12,0.139534884
185,1999,Twentieth Century Fox Film Corporation,5,0.058139535
186,1999,Universal Pictures,14,0.162790698
187,1999,Walt Disney Pictures,5,0.058139535
188,1999,Warner Bros.,13,0.151162791
189,2000,Columbia Pictures,9,0.108433735
190,2000,Metro-Goldwyn-Mayer (MGM),3,0.036144578
191,2000,New Line Cinema,10,0.120481928
192,2000,Paramount Pictures,9,0.108433735
208,2000,Relativity Media,0,0
193,2000,Touchstone Pictures,9,0.108433735
194,2000,Twentieth Century Fox Film Corporation,10,0.120481928
195,2000,Universal Pictures,13,0.156626506
196,2000,Walt Disney Pictures,6,0.072289157
197,2000,Warner Bros.,14,0.168674699
198,2001,Columbia Pictures,8,0.098765432
199,2001,Metro-Goldwyn-Mayer (MGM),7,0.086419753
200,2001,New Line Cinema,9,0.111111111
201,2001,Paramount Pictures,10,0.12345679
178,2001,Relativity Media,0,0
202,2001,Touchstone Pictures,8,0.098765432
203,2001,Twentieth Century Fox Film Corporation,11,0.135802469
204,2001,Universal Pictures,9,0.111111111
205,2001,Walt Disney Pictures,4,0.049382716
206,2001,Warner Bros.,15,0.185185185
207,2002,Columbia Pictures,7,0.077777778
208,2002,Metro-Goldwyn-Mayer (MGM),7,0.077777778
209,2002,New Line Cinema,9,0.1
210,2002,Paramount Pictures,15,0.166666667
198,2002,Relativity Media,0,0
211,2002,Touchstone Pictures,10,0.111111111
212,2002,Twentieth Century Fox Film Corporation,7,0.077777778
213,2002,Universal Pictures,12,0.133333333
214,2002,Walt Disney Pictures,8,0.088888889
215,2002,Warner Bros.,15,0.166666667
216,2003,Columbia Pictures,9,0.116883117
217,2003,Metro-Goldwyn-Mayer (MGM),6,0.077922078
218,2003,New Line Cinema,8,0.103896104
219,2003,Paramount Pictures,9,0.116883117
168,2003,Relativity Media,0,0
220,2003,Touchstone Pictures,6,0.077922078
221,2003,Twentieth Century Fox Film Corporation,7,0.090909091
222,2003,Universal Pictures,14,0.181818182
223,2003,Walt Disney Pictures,6,0.077922078
224,2003,Warner Bros.,12,0.155844156
225,2004,Columbia Pictures,7,0.086419753
226,2004,Metro-Goldwyn-Mayer (MGM),6,0.074074074
227,2004,New Line Cinema,9,0.111111111
228,2004,Paramount Pictures,13,0.160493827
128,2004,Relativity Media,0,0
229,2004,Touchstone Pictures,9,0.111111111
230,2004,Twentieth Century Fox Film Corporation,10,0.12345679
231,2004,Universal Pictures,7,0.086419753
232,2004,Walt Disney Pictures,6,0.074074074
233,2004,Warner Bros.,14,0.172839506
234,2005,Columbia Pictures,4,0.054794521
235,2005,Metro-Goldwyn-Mayer (MGM),6,0.082191781
236,2005,New Line Cinema,7,0.095890411
237,2005,Paramount Pictures,9,0.123287671
108,2005,Relativity Media,0,0
238,2005,Touchstone Pictures,7,0.095890411
239,2005,Twentieth Century Fox Film Corporation,6,0.082191781
240,2005,Universal Pictures,15,0.205479452
241,2005,Walt Disney Pictures,7,0.095890411
242,2005,Warner Bros.,12,0.164383562
243,2006,Columbia Pictures,9,0.105882353
244,2006,Metro-Goldwyn-Mayer (MGM),3,0.035294118
245,2006,New Line Cinema,6,0.070588235
246,2006,Paramount Pictures,9,0.105882353
247,2006,Relativity Media,4,0.047058824
248,2006,Touchstone Pictures,4,0.047058824
249,2006,Twentieth Century Fox Film Corporation,13,0.152941176
250,2006,Universal Pictures,15,0.176470588
251,2006,Walt Disney Pictures,5,0.058823529
252,2006,Warner Bros.,17,0.2
253,2007,Columbia Pictures,7,0.098591549
254,2007,Metro-Goldwyn-Mayer (MGM),4,0.056338028
255,2007,New Line Cinema,7,0.098591549
256,2007,Paramount Pictures,8,0.112676056
257,2007,Relativity Media,7,0.098591549
258,2007,Touchstone Pictures,1,0.014084507
259,2007,Twentieth Century Fox Film Corporation,8,0.112676056
260,2007,Universal Pictures,11,0.154929577
261,2007,Walt Disney Pictures,4,0.056338028
262,2007,Warner Bros.,14,0.197183099
263,2008,Columbia Pictures,11,0.11827957
264,2008,Metro-Goldwyn-Mayer (MGM),6,0.064516129
265,2008,New Line Cinema,10,0.107526882
266,2008,Paramount Pictures,8,0.086021505
267,2008,Relativity Media,20,0.215053763
268,2008,Touchstone Pictures,3,0.032258065
269,2008,Twentieth Century Fox Film Corporation,7,0.075268817
270,2008,Universal Pictures,13,0.139784946
271,2008,Walt Disney Pictures,5,0.053763441
272,2008,Warner Bros.,10,0.107526882
273,2009,Columbia Pictures,12,0.137931034
274,2009,Metro-Goldwyn-Mayer (MGM),3,0.034482759
275,2009,New Line Cinema,4,0.045977011
276,2009,Paramount Pictures,7,0.08045977
277,2009,Relativity Media,19,0.218390805
278,2009,Touchstone Pictures,2,0.022988506
279,2009,Twentieth Century Fox Film Corporation,7,0.08045977
280,2009,Universal Pictures,15,0.172413793
281,2009,Walt Disney Pictures,5,0.057471264
282,2009,Warner Bros.,13,0.149425287
283,2010,Columbia Pictures,8,0.101265823
284,2010,Metro-Goldwyn-Mayer (MGM),1,0.012658228
285,2010,New Line Cinema,3,0.037974684
286,2010,Paramount Pictures,7,0.088607595
287,2010,Relativity Media,18,0.227848101
288,2010,Touchstone Pictures,4,0.050632911
289,2010,Twentieth Century Fox Film Corporation,7,0.088607595
290,2010,Universal Pictures,12,0.151898734
291,2010,Walt Disney Pictures,7,0.088607595
292,2010,Warner Bros.,12,0.151898734
293,2011,Columbia Pictures,14,0.181818182
294,2011,Metro-Goldwyn-Mayer (MGM),2,0.025974026
295,2011,New Line Cinema,6,0.077922078
296,2011,Paramount Pictures,9,0.116883117
297,2011,Relativity Media,9,0.116883117
298,2011,Touchstone Pictures,4,0.051948052
299,2011,Twentieth Century Fox Film Corporation,7,0.090909091
300,2011,Universal Pictures,12,0.155844156
301,2011,Walt Disney Pictures,5,0.064935065
302,2011,Warner Bros.,9,0.116883117
303,2012,Columbia Pictures,10,0.147058824
304,2012,Metro-Goldwyn-Mayer (MGM),3,0.044117647
305,2012,New Line Cinema,3,0.044117647
306,2012,Paramount Pictures,9,0.132352941
307,2012,Relativity Media,13,0.191176471
39,2012,Touchstone Pictures,0,0
308,2012,Twentieth Century Fox Film Corporation,8,0.117647059
309,2012,Universal Pictures,11,0.161764706
310,2012,Walt Disney Pictures,3,0.044117647
311,2012,Warner Bros.,8,0.117647059
312,2013,Columbia Pictures,9,0.134328358
313,2013,Metro-Goldwyn-Mayer (MGM),4,0.059701493
314,2013,New Line Cinema,6,0.089552239
315,2013,Paramount Pictures,8,0.119402985
316,2013,Relativity Media,7,0.104477612
317,2013,Touchstone Pictures,2,0.029850746
318,2013,Twentieth Century Fox Film Corporation,5,0.074626866
319,2013,Universal Pictures,9,0.134328358
320,2013,Walt Disney Pictures,5,0.074626866
321,2013,Warner Bros.,12,0.179104478
322,2014,Columbia Pictures,8,0.114285714
323,2014,Metro-Goldwyn-Mayer (MGM),5,0.071428571
324,2014,New Line Cinema,7,0.1
325,2014,Paramount Pictures,8,0.114285714
326,2014,Relativity Media,5,0.071428571
327,2014,Touchstone Pictures,2,0.028571429
328,2014,Twentieth Century Fox Film Corporation,9,0.128571429
329,2014,Universal Pictures,10,0.142857143
330,2014,Walt Disney Pictures,5,0.071428571
331,2014,Warner Bros.,11,0.157142857
332,2015,Columbia Pictures,7,0.122807018
333,2015,Metro-Goldwyn-Mayer (MGM),4,0.070175439
334,2015,New Line Cinema,6,0.105263158
335,2015,Paramount Pictures,7,0.122807018
28,2015,Relativity Media,0,0
29,2015,Touchstone Pictures,0,0
336,2015,Twentieth Century Fox Film Corporation,4,0.070175439
337,2015,Universal Pictures,12,0.210526316
338,2015,Walt Disney Pictures,5,0.087719298
339,2015,Warner Bros.,12,0.210526316
340,2016,Columbia Pictures,6,0.146341463
341,2016,Metro-Goldwyn-Mayer (MGM),2,0.048780488
342,2016,New Line Cinema,5,0.12195122
343,2016,Paramount Pictures,5,0.12195122
58,2016,Relativity Media,0,0
59,2016,Touchstone Pictures,0,0
344,2016,Twentieth Century Fox Film Corporation,5,0.12195122
345,2016,Universal Pictures,10,0.243902439
346,2016,Walt Disney Pictures,5,0.12195122
347,2016,Warner Bros.,3,0.073170732
340,2017,Columbia Pictures,6,0.146341463
341,2017,Metro-Goldwyn-Mayer (MGM),2,0.048780488
342,2017,New Line Cinema,5,0.12195122
343,2017,Paramount Pictures,5,0.12195122
58,2017,Relativity Media,0,0
59,2017,Touchstone Pictures,0,0
344,2017,Twentieth Century Fox Film Corporation,5,0.12195122
345,2017,Universal Pictures,10,0.243902439
346,2017,Walt Disney Pictures,5,0.12195122
347,2017,Warner Bros.,3,0.073170732
