,year,genres,total_films,norm_per_year
628,2013,Western,1,0.0019723865877712033
629,2014,Action,54,0.10909090909090909
630,2014,Adventure,37,0.07474747474747474
631,2014,Comedy,62,0.12525252525252525
632,2014,Crime,27,0.05454545454545454
633,2014,Drama,110,0.2222222222222222
634,2014,Family,23,0.046464646464646465
635,2014,Fantasy,16,0.03232323232323232
636,2014,History,7,0.014141414141414142
637,2014,Horror,21,0.04242424242424243
638,2014,Music,9,0.01818181818181818
639,2014,Romance,24,0.048484848484848485
640,2014,Science Fiction,26,0.052525252525252523
641,2014,Thriller,66,0.13333333333333333
642,2014,War,10,0.020202020202020204
643,2014,Western,3,0.006060606060606061
644,2015,Action,46,0.10043668122270742
645,2015,Adventure,35,0.07641921397379912
646,2015,Comedy,52,0.11353711790393013
647,2015,Crime,26,0.056768558951965066
648,2015,Drama,95,0.2074235807860262
649,2015,Family,17,0.03711790393013101
650,2015,Fantasy,10,0.021834061135371178
651,2015,History,9,0.019650655021834062
652,2015,Horror,33,0.07205240174672489
653,2015,Music,8,0.017467248908296942
654,2015,Romance,23,0.05021834061135371
655,2015,Science Fiction,28,0.0611353711790393
656,2015,Thriller,67,0.1462882096069869
657,2015,War,2,0.004366812227074236
658,2015,Western,7,0.015283842794759825
659,2016,Action,39,0.16595744680851063
660,2016,Adventure,23,0.09787234042553192
661,2016,Comedy,26,0.11063829787234042
662,2016,Crime,10,0.0425531914893617
663,2016,Drama,37,0.1574468085106383
664,2016,Family,9,0.03829787234042553
665,2016,Fantasy,13,0.05531914893617021
666,2016,History,6,0.02553191489361702
667,2016,Horror,20,0.0851063829787234
668,2016,Music,1,0.00425531914893617
669,2016,Romance,9,0.03829787234042553
670,2016,Science Fiction,11,0.04680851063829787
671,2016,Thriller,27,0.1148936170212766
672,2016,War,3,0.01276595744680851
673,2016,Western,1,0.00425531914893617
659,2017,Action,39,0.16595744680851063
660,2017,Adventure,23,0.09787234042553192
661,2017,Comedy,26,0.11063829787234042
662,2017,Crime,10,0.0425531914893617
663,2017,Drama,37,0.1574468085106383
664,2017,Family,9,0.03829787234042553
665,2017,Fantasy,13,0.05531914893617021
666,2017,History,6,0.02553191489361702
667,2017,Horror,20,0.0851063829787234
668,2017,Music,1,0.00425531914893617
669,2017,Romance,9,0.03829787234042553
670,2017,Science Fiction,11,0.04680851063829787
671,2017,Thriller,27,0.1148936170212766
672,2017,War,3,0.01276595744680851
673,2017,Western,1,0.00425531914893617
